TAXON_NAME,LIFE_STAGE,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Muscidae,Larvae,6,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Muscidae,NA,NA,NA,NA,NA,NA,NA
Musculium sp.,Adults,47,2,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,sp.,NA
Musculium sp.,Larvae,190,38,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,sp.,NA
Musculium transversum,Adults,6,2,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,Musculium transversum,NA
Musculium transversum,Larvae,113,10,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,Musculium transversum,NA
Naididae,Larvae,254,70,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Naididae,NA,NA,NA,NA,NA,NA,NA
Nanocladius sp.,Larvae,96,41,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Nanocladius,NA,sp.,NA
Nanocladius sp.,Pupae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Nanocladius,NA,sp.,NA
Nasiaeschna pentacantha,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Nasiaeschna,NA,Nasiaeschna pentacantha,NA
Natarsia sp.,Larvae,8,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Natarsiini,NA,Natarsia,NA,sp.,NA
Nectopsyche candida,Larvae,14,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Nectopsyche,NA,Nectopsyche candida,NA
Nectopsyche diarina,Larvae,18,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Nectopsyche,NA,Nectopsyche diarina,NA
Nectopsyche sp.,Larvae,63,11,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Nectopsyche,NA,sp.,NA
Nematoda,Larvae,5,4,Animalia,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nematomorpha,Larvae,8,8,Animalia,Nematomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nemotelus sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,Nemotelus,NA,sp.,NA
Neoplea sp.,Adults,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Pleidae,NA,NA,NA,Neoplea,NA,sp.,NA
Neoplea sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Pleidae,NA,NA,NA,Neoplea,NA,sp.,NA
Neoporus sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Hydroporinae,Hydroporini,NA,Neoporus,NA,sp.,NA
Neotrichia sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Neotrichia,NA,sp.,NA
Neumania sp.,Adults,4,4,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Unionicolidae,NA,NA,NA,Neumania,NA,sp.,NA
Neumania sp.,Larvae,4,4,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Unionicolidae,NA,NA,NA,Neumania,NA,sp.,NA
Neureclipsis sp.,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Polycentropodidae,NA,NA,NA,Neureclipsis,NA,sp.,NA
Neurocordulia sp.,Larvae,4,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Corduliidae,NA,NA,NA,Neurocordulia,NA,sp.,NA
Nilotanypus fimbriatus,Larvae,9,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Nilotanypus,NA,Nilotanypus fimbriatus,NA
Nilotanypus sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Nilotanypus,NA,sp.,NA
Nilothauma sp.,Larvae,8,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Nilothauma,NA,sp.,NA
Nixe sp.,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Nixe,NA,sp.,NA
Notonecta sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Notonectidae,NA,NA,NA,Notonecta,NA,sp.,NA
Odontomyia sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,Odontomyia,NA,sp.,NA
Oecetis cinerascens,Larvae,4,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Oecetis,NA,Oecetis cinerascens,NA
Oecetis sp.,Larvae,15,10,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Oecetis,NA,sp.,NA
Optioservus sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Optioservus,NA,sp.,NA
Orconectes sp.,Adults,1,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,Orconectes,NA,sp.,NA
Orconectes sp.,Larvae,53,13,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,Orconectes,NA,sp.,NA
Orthocladiinae,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,NA,NA,NA,NA
Orthocladius Complex,Larvae,81,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Orthocladius,NA,Orthocladius Complex,NA
Ostracoda,Larvae,14,7,Animalia,Arthropoda,Crustacea,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxus sp.,Larvae,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Oxidae,NA,NA,NA,Oxus,NA,sp.,NA
Oxyethira sp.,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Oxyethira,NA,sp.,NA
Oxyethira sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Oxyethira,NA,sp.,NA
Palmacorixa sp.,Adults,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Palmacorixa,NA,sp.,NA
Parachironomus sp.,Larvae,102,38,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Parachironomus,NA,sp.,NA
Parachironomus sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Parachironomus,NA,sp.,NA
Paracladopelma sp.,Larvae,106,53,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paracladopelma,NA,sp.,NA
Paracladopelma sp.,Pupae,8,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paracladopelma,NA,sp.,NA
Paracloeodes minutus,Larvae,27,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Paracloeodes,NA,Paracloeodes minutus,NA
Paracloeodes sp.,Larvae,10,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Paracloeodes,NA,sp.,NA
Paracymus sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Paracymus,NA,sp.,NA
Parakiefferiella sp.,Larvae,10,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Parakiefferiella,NA,sp.,NA
Paralauterborniella nigrohalteralis,Larvae,34,16,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paralauterborniella,NA,Paralauterborniella nigrohalteralis,NA
Paralauterborniella nigrohalteralis,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paralauterborniella,NA,Paralauterborniella nigrohalteralis,NA
Paramerina sp.,Larvae,7,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Paramerina,NA,sp.,NA
Parametriocnemus sp.,Larvae,51,28,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Parametriocnemus,NA,sp.,NA
Paraphaenocladius sp.,Larvae,14,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Paraphaenocladius,NA,sp.,NA
Paratanytarsus sp.,Larvae,2134,142,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Paratanytarsus,NA,sp.,NA
Paratanytarsus sp.,Pupae,58,39,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Paratanytarsus,NA,sp.,NA
Paratendipes sp.,Larvae,917,105,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paratendipes,NA,sp.,NA
Paratendipes sp.,Pupae,18,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paratendipes,NA,sp.,NA
Pelocoris sp.,Larvae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Naucoridae,NA,NA,NA,Pelocoris,NA,sp.,NA
Peltodytes sp.,Adults,9,8,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Haliplidae,NA,NA,NA,Peltodytes,NA,sp.,NA
Peltodytes sp.,Larvae,28,11,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Haliplidae,NA,NA,NA,Peltodytes,NA,sp.,NA
Pentaneura sp.,Larvae,26,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Pentaneura,NA,sp.,NA
Perlesta sp.,Larvae,16,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Plecoptera,NA,NA,NA,Perlidae,NA,NA,NA,Perlesta,NA,sp.,NA
Phaenopsectra sp.,Larvae,844,123,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Phaenopsectra,NA,sp.,NA
Phaenopsectra sp.,Pupae,8,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Phaenopsectra,NA,sp.,NA
Phryganeidae,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Phryganeidae,NA,NA,NA,NA,NA,NA,NA
Physa sp.,Adults,126,14,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Physidae,NA,NA,NA,Physa,NA,sp.,NA
Physa sp.,Larvae,1228,94,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Physidae,NA,NA,NA,Physa,NA,sp.,NA
Pilaria sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Hexatomini,NA,Pilaria,NA,sp.,NA
Pisidium sp.,Adults,21,6,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Pisidium,NA,sp.,NA
Pisidium sp.,Larvae,95,24,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Pisidium,NA,sp.,NA
Placobdella ornata,Larvae,12,11,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Placobdella,NA,Placobdella ornata,NA
Placobdella sp.,Larvae,2,2,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Placobdella,NA,sp.,NA
Planorbella sp.,Adults,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Planorbella,NA,sp.,NA
Planorbella sp.,Larvae,18,14,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Planorbella,NA,sp.,NA
Planorbidae,Larvae,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,NA,NA,NA,NA
Plathemis lydia,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Plathemis,NA,Plathemis lydia,NA
Plauditus sp.,Larvae,25,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Plauditus,NA,sp.,NA
Polycentropodidae,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Polycentropodidae,NA,NA,NA,NA,NA,NA,NA
Polypedilum aviceps,Larvae,64,19,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum aviceps,NA
Polypedilum epleri,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum epleri,NA
Polypedilum fallax gr.,Larvae,118,55,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum fallax gr.,NA
Polypedilum fallax gr.,Pupae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum fallax gr.,NA
Polypedilum flavum,Larvae,3579,131,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum flavum,NA
Polypedilum flavum,Pupae,132,53,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum flavum,NA
Polypedilum halterale gr.,Larvae,352,83,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum halterale gr.,NA
Polypedilum halterale gr.,Pupae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum halterale gr.,NA
Polypedilum illinoense gr.,Larvae,4683,149,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum illinoense gr.,NA
Polypedilum illinoense gr.,Pupae,103,56,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum illinoense gr.,NA
Polypedilum scalaenum gr.,Larvae,1445,119,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum scalaenum gr.,NA
Polypedilum scalaenum gr.,Pupae,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum scalaenum gr.,NA
Polypedilum sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,sp.,NA
Polypedilum tritum,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum tritum,NA
Procambarus sp.,Larvae,3,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,Procambarus,NA,sp.,NA
Procladius sp.,Larvae,2065,118,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Procladiini,NA,Procladius,NA,sp.,NA
Procladius sp.,Pupae,14,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Procladiini,NA,Procladius,NA,sp.,NA
Procloeon sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Procloeon,NA,sp.,NA
Progomphus obscurus,Larvae,4,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Gomphidae,NA,NA,NA,Progomphus,NA,Progomphus obscurus,NA
Progomphus sp.,Larvae,19,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Gomphidae,NA,NA,NA,Progomphus,NA,sp.,NA
Prostoma sp.,Larvae,6,3,Animalia,Nemertea,NA,Enopla,NA,NA,NA,Hoplonemertea,Monostilifera,NA,NA,Tetrastemmatidae,NA,NA,NA,Prostoma,NA,sp.,NA
Psectrotanypus sp.,Larvae,30,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Macropelopiini,NA,Psectrotanypus,NA,sp.,NA
Psectrotanypus sp.,Pupae,4,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Macropelopiini,NA,Psectrotanypus,NA,sp.,NA
Pseudochironomus sp.,Larvae,21,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Pseudochironomini,NA,Pseudochironomus,NA,sp.,NA
Pseudocloeon frondale,Larvae,49,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Pseudocloeon,NA,Pseudocloeon frondale,NA
Pseudocloeon sp.,Larvae,281,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Pseudocloeon,NA,sp.,NA
Pseudolimnophila sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Hexatomini,NA,Pseudolimnophila,NA,sp.,NA
Pseudosuccinea columella,Adults,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,Pseudosuccinea,NA,Pseudosuccinea columella,NA
Pseudosuccinea columella,Larvae,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,Pseudosuccinea,NA,Pseudosuccinea columella,NA
Psychodidae,Larvae,8,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Psychodidae,NA,NA,NA,NA,NA,NA,NA
Psychodidae,Pupae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Psychodidae,NA,NA,NA,NA,NA,NA,NA
Pycnopsyche sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Limnephilidae,NA,NA,NA,Pycnopsyche,NA,sp.,NA
Ranatra sp.,Adults,3,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Nepidae,NA,NA,NA,Ranatra,NA,sp.,NA
Ranatra sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Nepidae,NA,NA,NA,Ranatra,NA,sp.,NA
Rheocricotopus sp.,Larvae,72,32,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Rheocricotopus,NA,sp.,NA
Rheocricotopus sp.,Pupae,4,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Rheocricotopus,NA,sp.,NA
Rheosmittia sp.,Larvae,263,18,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Rheosmittia,NA,sp.,NA
Rheotanytarsus exiguus gr.,Larvae,499,78,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Rheotanytarsus,NA,Rheotanytarsus exiguus gr.,NA
Rheotanytarsus exiguus gr.,Pupae,20,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Rheotanytarsus,NA,Rheotanytarsus exiguus gr.,NA
Rheotanytarsus pellucidus gr.,Larvae,9,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Rheotanytarsus,NA,Rheotanytarsus pellucidus gr.,NA
Rheotanytarsus pellucidus gr.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Rheotanytarsus,NA,Rheotanytarsus pellucidus gr.,NA
Robackia demeijerei,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Robackia,NA,Robackia demeijerei,NA
Robackia sp.,Pupae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Robackia,NA,sp.,NA
Saetheria sp.,Larvae,32,23,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Saetheria,NA,sp.,NA
Saetheria sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Saetheria,NA,sp.,NA
